Тик,Уик,Количество избирателей,Полученные бюллетени,Выданные бюллетени в помещении,Выданные бюллетени вне помещения,Погашенные бюллетени,Число бюллетеней в переносных,Число бюллетеней в стационарных,Недействительные бюллетени,Действительные бюллетени,Утраченные бюллетени,Неучтенные бюллетени,Амосов,Беглов,Тихонова
1,1,1803,1200,587,11,602,11,587,23,575,0,0,110,345,120
1,2,1466,1100,433,14,653,14,430,19,425,0,0,53,326,46
1,3,2092,1600,576,22,1002,22,576,15,583,0,0,155,332,96
1,4,1056,1000,318,4,678,4,318,13,309,0,0,67,171,71
1,5,1827,1400,495,8,897,8,493,16,485,0,0,137,266,82
1,6,1557,1200,453,13,734,13,453,12,454,0,0,118,263,73
1,7,2095,1600,532,17,1051,17,532,13,536,0,0,131,305,100
1,8,1523,1100,590,13,497,13,590,19,584,0,0,127,364,93
1,9,1463,1300,473,26,801,26,473,17,482,0,0,128,253,101
1,10,1629,1200,486,7,707,7,486,14,479,0,0,118,267,94
1,11,1916,1500,521,15,964,14,521,21,514,0,0,96,329,89
1,12,2570,1900,704,9,1187,9,700,30,679,0,0,158,376,145
1,13,325,350,60,264,26,264,60,2,322,0,0,6,295,21
1,14,2457,2000,612,8,1380,8,612,19,601,0,0,85,435,81
1,15,1765,1600,477,179,944,179,477,33,623,0,0,111,403,109
1,16,1849,1500,616,17,867,17,616,26,607,0,0,127,357,123
1,17,1701,1300,458,22,820,22,458,18,462,0,0,101,288,73
1,18,1539,1300,410,27,863,27,410,23,414,0,0,91,250,73
1,19,1614,1500,556,11,933,11,555,21,545,0,0,137,311,97
1,20,1568,1200,394,13,793,13,394,12,395,0,0,79,236,80
1,21,1736,1300,522,17,761,17,522,21,518,0,0,138,283,97
1,22,1630,1200,517,36,647,36,517,23,530,0,0,101,334,95
1,23,1344,1300,565,15,720,15,545,24,536,0,0,101,332,103
1,24,1750,1300,433,8,859,8,428,9,427,0,0,103,238,86
1,25,1930,1600,617,12,971,12,591,13,590,0,0,114,382,94
1,26,1005,1000,327,7,666,7,327,15,319,0,0,66,199,54
1,27,1059,1200,415,9,776,9,415,13,411,0,0,91,254,66
1,28,1106,1000,385,143,472,143,372,18,497,0,0,92,325,80
1,29,1609,1200,406,19,775,19,406,13,412,0,0,120,219,73
1,30,1381,1100,449,15,636,15,422,10,427,0,0,64,309,54
1,31,2357,1600,1274,9,317,9,1242,68,1183,0,0,216,618,349
1,32,1915,1700,709,9,982,9,684,31,662,0,0,162,383,117
1,33,2438,2100,574,8,1518,8,573,27,554,0,0,72,418,64
1,34,1799,1700,558,85,1057,84,558,24,618,0,0,124,386,108
1,35,1229,1000,425,8,567,8,425,13,420,0,0,61,312,47
1,36,1605,1300,454,29,817,29,447,19,457,0,0,66,301,90
1,37,1079,1000,377,8,615,8,377,40,345,0,0,23,310,12
1,38,1793,1300,471,11,818,11,471,16,466,0,0,89,280,97
1,39,1953,1500,447,31,1022,31,447,16,462,0,0,110,275,77
1,40,1990,1500,548,12,940,12,548,16,544,0,0,139,314,91
1,41,1062,1000,334,2,664,2,334,8,328,0,0,50,221,57
1,42,1818,1300,552,16,732,16,551,12,555,0,0,119,313,123
1,43,2645,1600,1325,34,241,34,1325,88,1271,0,0,249,696,326
1,44,1118,1000,356,8,636,8,355,16,347,0,0,69,204,74
1,45,1898,1400,551,9,840,9,551,17,543,0,0,124,323,96
1,46,1746,1300,507,6,787,6,507,17,496,0,0,87,314,95
1,47,2353,1800,607,13,1180,13,596,22,587,0,0,137,345,105
1,48,1204,1000,447,4,549,4,446,8,442,0,0,72,287,83
1,49,2279,1700,654,13,1033,13,653,45,621,0,0,162,337,122
1,50,2248,1700,513,13,1174,13,512,15,510,0,0,56,401,53
1,51,1612,1300,395,9,896,9,395,14,390,0,0,52,257,81
1,52,2991,2100,738,10,1352,10,738,25,723,0,0,76,469,178
1,53,2010,1500,584,16,900,16,583,24,575,0,0,118,373,84
1,54,2160,1600,556,16,1028,16,553,15,554,0,0,94,345,115
1,55,1476,1100,582,58,460,58,582,23,617,0,0,96,415,106
1,56,2217,1700,496,51,1153,51,496,20,527,0,0,99,328,100
